Лист;Строка;Тип связи;Книги;Номера деталей;Отметки источника;Комментарий
WK-20;186;Одинаковый номер;K1623 ↔ K1626;GB/T91 ↔ GB/T91;Да;
WK-20;189;Прямая замена по строке;K1623 ↔ K1626;K1618.10.06.00 ↔ K1626.10.06.00;;Последняя производственная модель — K1626.10.06.00, общая оптимизация.
WK-20;190;Прямая замена по строке;K1623 ↔ K1626;GB/T91 ↔ GB/T95;;
WK-20;192;Прямая замена по строке;K1623 ↔ K1626;K1605.10.05.00 ↔ K1626.10.05.00;;
WK-20;193;Прямая замена по строке;K1623 ↔ K1626;K1605.10.04 ↔ K1623.10.07.00;;Полностью взаимозаменяем
WK-20;195;Прямая замена по строке;K1623 ↔ K1626;K1623.11.00 ↔ K1626.11.00;;
WK-20;196;Прямая замена по строке;K1623 ↔ K1626;K1605.11.02.00 ↔ K1626.11.01.00;;
WK-20;197;Прямая замена по строке;K1623 ↔ K1626;K1605.11.01.00 ↔ K1605.11.02.00;;
WK-20;198;Одинаковый номер;K1623 ↔ K1626;K1605.11.03.00 ↔ K1605.11.03.00;Да;
WK-20;199;Прямая замена по строке;K1623 ↔ K1626;K1605.11.05.00 ↔ K1626.11.04.00;;
WK-20;200;Прямая замена по строке;K1623 ↔ K1626;K1605.11.04.00 ↔ K1626.11.05.00;;
WK-20;201;Прямая замена по строке;K1623 ↔ K1626;K1605.11.06.00 ↔ K1626.11.06.00;;
WK-20;202;Одинаковый номер;K1623 ↔ K1626;K1605.11.07.00 ↔ K1605.11.07.00;Да;
WK-20;203;Прямая замена по строке;K1623 ↔ K1626;K1605.11.08.00 ↔ K1626.11.08.00;;
WK-20;204;Прямая замена по строке;K1623 ↔ K1626;K1605.11.09.00 ↔ K1626.11.09.00;;
WK-20;205;Одинаковый номер;K1623 ↔ K1626;K1605.11.10.00 ↔ K1605.11.10.00;Да;
WK-20;206;Прямая замена по строке;K1623 ↔ K1626;K1605.11.11.00 ↔ K1626.11.11.00;;
WK-20;207;Прямая замена по строке;K1623 ↔ K1626;K1605.11.12.00 ↔ K1626.11.12.00;;
WK-20;208;Прямая замена по строке;K1623 ↔ K1626;K1605.11.14.00 ↔ K1605.11.13.00;;
WK-20;209;Прямая замена по строке;K1623 ↔ K1626;K1605.11.13.00 ↔ K1605.11.14.00;;
WK-20;210;Одинаковый номер;K1623 ↔ K1626;K1605.11.15.00 ↔ K1605.11.15.00;Да;
WK-20;211;Одинаковый номер;K1623 ↔ K1626;K1605.11.16.00 ↔ K1605.11.16.00;Да;
WK-20;212;Одинаковый номер;K1623 ↔ K1626;K1605.11.17.00 ↔ K1605.11.17.00;Да;
WK-20;213;Одинаковый номер;K1623 ↔ K1626;K1605.11.18.00 ↔ K1605.11.18.00;Да;
WK-20;214;Одинаковый номер;K1623 ↔ K1626;K1605.11.19.00 ↔ K1605.11.19.00;Да;
WK-20;215;Одинаковый номер;K1623 ↔ K1626;K1605.11.20.00 ↔ K1605.11.20.00;Да;
WK-20;216;Одинаковый номер;K1623 ↔ K1626;K1605.11.21.00 ↔ K1605.11.21.00;Да;
WK-20;217;Прямая замена по строке;K1623 ↔ K1626;K1605.11.22.00 ↔ K1626.11.22.00;;
WK-20;218;Одинаковый номер;K1623 ↔ K1626;K1605.11.23.00 ↔ K1605.11.23.00;Да;
WK-20;219;Одинаковый номер;K1623 ↔ K1626;K1605.11.24.00 ↔ K1605.11.24.00;Да;
WK-20;220;Прямая замена по строке;K1623 ↔ K1626;K1622.11.25.00 ↔ K1625.11.25.00;;
WK-20;221;Одинаковый номер;K1623 ↔ K1626;K1605.11.26.00 ↔ K1605.11.26.00;Да;
WK-20;222;Прямая замена по строке;K1623 ↔ K1626;K1605.11.27.00 ↔ K1626.11.28.00;;
WK-20;223;Прямая замена по строке;K1623 ↔ K1626;K1605.11.28.00 ↔ K1605.11.29.00;;
WK-20;224;Прямая замена по строке;K1623 ↔ K1626;K1605.11.29.00 ↔ K1605.11.30.00;;
WK-20;225;Прямая замена по строке;K1623 ↔ K1626;K1605.11.30.00 ↔ K1625.11.00-01;;
WK-20;226;Прямая замена по строке;K1623 ↔ K1626;K1623.11.00-01 ↔ GB/T5783;;
WK-20;227;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ GB/T6170;;
WK-20;228;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ GB/T97.1;;
WK-20;229;Прямая замена по строке;K1623 ↔ K1626;GB/T97.1 ↔ GB/T93;;
WK-20;230;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ GB/T5783;;
WK-20;231;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ GB/T6170;;
WK-20;232;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ GB/T97.1;;
WK-20;233;Прямая замена по строке;K1623 ↔ K1626;GB/T97.1 ↔ GB/T93;;
WK-20;234;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ K1605.11.01;;
WK-20;235;Прямая замена по строке;K1623 ↔ K1626;K1605.11.01 ↔ GB/T5783;;
WK-20;236;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ GB/T6170;;
WK-20;237;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ GB/T97.1;;
WK-20;238;Прямая замена по строке;K1623 ↔ K1626;GB/T97.1 ↔ GB/T93;;
WK-20;239;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ GB/T5783;;
WK-20;240;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ GB/T6170;;
WK-20;241;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ GB/T97.1;;
WK-20;242;Прямая замена по строке;K1623 ↔ K1626;GB/T97.1 ↔ GB/T93;;
WK-20;243;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ K1625.11.00-02;;
WK-20;244;Прямая замена по строке;K1623 ↔ K1626;K1623.11.00-02 ↔ K1605.11.02;;
WK-20;245;Прямая замена по строке;K1623 ↔ K1626;K1605.11.02 ↔ K1622.11.31.00;;
WK-20;246;Прямая замена по строке;K1623 ↔ K1626;K1622.11.31.00 ↔ K1625.11.00-03;;
WK-20;247;Прямая замена по строке;K1623 ↔ K1626;K1623.11.00-03 ↔ K1626.11.32.00;;
WK-20;248;Прямая замена по строке;K1623 ↔ K1626;K1623.11.32.00 ↔ GB/T5783;;
WK-20;249;Прямая замена по строке;K1623 ↔ K1626;K1902.09.10.10.03.00 ↔ K1626.11.33.00;;
